ID,movie_title,release_date,inflation_adjusted_gross,Year,IMDb,race,,,,,,,,,
1,Snow White and the Seven Dwarfs,1937,5228953251,1937,7.6,white,,,,,,,,,
2,Pinocchio,1940,2188229052,1940,7.4,white,,,,,,,,,
3,Fantasia,1940,2187090808,1940,7.8,,,,,,,,,,
4,Lady and the Tramp,1955,1236035515,1955,7.3,animals,,,,,,,,,
5,The Absent Minded Professor,1961,310094574,1961,6.8,white,,,,,,,,,
6,Babes in Toyland,1961,124841160,1961,6.3,white,,,,,,,,,
7,The Sword in the Stone,1963,153870834,1963,7.2,white,,,,,,,,,
8,The Jungle Book,1967,789612346,1967,7.6,POC,,,,,,,,,
9,Blackbeard s Ghost,1968,138612686,1968,6.9,white,,,,,,,,,
10,The Aristocats,1970,255161499,1970,7.1,animals,,,,,,,,,
11,Bedknobs and Broomsticks,1971,91305448,1971,7.1,white,,,,,,,,,
12,The Apple Dumpling Gang,1975,131246872,1975,6.5,white,,,,,,,,,
13,The Many Adventures of Winnie the Pooh,1977,0,1977,7.6,animals,,,,,,,,,
14,The Rescuers,1977,159743914,1977,6.9,animals,,,,,,,,,
15,Herbie Goes to Monte Carlo,1977,105847527,1977,5.7,white,,,,,,,,,
16,The Black Hole,1979,120377374,1979,6,white,,,,,,,,,
17,The Fox and the Hound,1981,133118889,1981,7.3,animals,,,,,,,,,
18,Tron,1982,77184895,1982,6.8,white,,,,,,,,,
19,Splash,1984,157057661,1984,6.2,white,,,,,,,,,
20,Return to Oz,1985,25215934,1985,6.7,white,,,,,,,,,
21,The Black Cauldron,1985,50553142,1985,6.4,white,,,,,,,,,
22,The Journey of Natty Gann,1985,22302956,1985,7.1,white,,,,,,,,,
23,One Magic Christmas,1985,31415432,1985,6.5,white,,,,,,,,,
24,The Great Mouse Detective,1986,53637367,1986,7.2,animals,,,,,,,,,
25,Flight of the Navigator,1986,42183197,1986,6.9,white,,,,,,,,,
26,Benji the Hunted,1987,32798382,1987,6.3,animals,,,,,,,,,
27,3 Men and a Baby,1987,353334607,1987,6,white,,,,,,,,,
28,Shoot to Kill,1988,60097074,1988,6.8,mixed,,,,,,,,,
29,Big Business,1988,82352451,1988,6.4,white,,,,,,,,,
30,Who Framed Roger Rabbit,1988,316250084,1988,7.7,white,,,,,,,,,
31,Oliver   Company,1988,102254492,1988,6.7,animals,,,,,,,,,
32,Honey  I Shrunk the Kids,1989,276191669,1989,6.3,white,,,,,,,,,
33,Turner   Hooch,1989,150176361,1989,6.2,white,,,,,,,,,
34,Cheetah,1989,16653473,1989,6,mixed,,,,,,,,,
35,Dick Tracy,1990,207231621,1990,6.1,white,,,,,,,,,
36,The Rescuers Down Under,1990,55796728,1990,6.9,animals,,,,,,,,,
37,3 Men and a Little Lady,1990,143108869,1990,5.4,white,,,,,,,,,
38,The Rocketeer,1991,93256673,1991,6.5,white,,,,,,,,,
39,Newsies,1992,5497481,1992,7,white,,,,,,,,,
40,Sister Act,1992,283583472,1992,6.4,mixed,,,,,,,,,
41,Honey I Blew Up the Kid,1992,119162518,1992,4.8,white,,,,,,,,,
42,1492  Conquest of Paradise,1992,14421454,1992,6.5,white,,,,,,,,,
43,Aladdin,1992,441969178,1992,8,POC,,,,,,,,,
44,The Muppet Christmas Carol,1992,55417615,1992,7.7,,,,,,,,,,
45,Homeward Bound  The Incredible Journey,1993,85182343,1993,6.9,animals,,,,,,,,,
46,The Adventures of Huck Finn,1993,49080505,1993,6.2,white,,,,,,,,,
47,Hocus Pocus,1993,80147079,1993,6.9,white,,,,,,,,,
48,Cool Runnings,1993,140392731,1993,7,POC,,,,,,,,,
49,The Nightmare Before Christmas,1993,100026637,1993,8,,,,,,,,,,
50,Iron Will,1994,42610902,1994,6.6,white,,,,,,,,,
51,Blank Check,1994,63170804,1994,5.3,white,,,,,,,,,
52,Holy Matrimony,1994,1473665,1994,5.1,white,,,,,,,,,
53,The Lion King,1994,761640898,1994,8.5,white,,,,,,,,,
54,Camp Nowhere,1994,21576332,1994,6.1,white,,,,,,,,,
55,The Santa Clause,1994,298369717,1994,6.5,white,,,,,,,,,
56,Tall Tale,1995,15983331,1995,5.9,white,,,,,,,,,
57,A Goofy Movie,1995,68479579,1995,6.8,animals,,,,,,,,,
58,Pocahontas,1995,274370957,1995,5.3,POC,,,,,,,,,
59,Operation Dumbo Drop,1995,47809421,1995,5.1,mixed,,,,,,,,,
60,A Kid in King Arthur s Court,1995,25981285,1995,4.7,white,,,,,,,,,
61,Toy Story,1995,370409631,1995,8.3,white,,,,,,,,,
62,Tom and Huck,1995,45911517,1995,5.5,white,,,,,,,,,
63,Muppet Treasure Island,1996,65470567,1996,7,,,,,,,,,,
64,James and the Giant Peach,1996,55159783,1996,6.7,white,,,,,,,,,
65,Kazaam,1996,36009655,1996,3,mixed,,,,,,,,,
66,Jack,1996,111792852,1996,5.8,white,,,,,,,,,
67,First Kid,1996,50465108,1996,5.2,mixed,,,,,,,,,
68,101 Dalmatians,1996,258728898,1996,5.7,white,,,,,,,,,
69,That Darn Cat,1997,33613158,1997,4.7,white,,,,,,,,,
70,Jungle 2 Jungle,1997,110058379,1997,5.2,white,,,,,,,,,
71,Flubber,1997,170406423,1997,5.3,white,,,,,,,,,
72,Meet the Deedles,1998,7829877,1998,4.1,white,,,,,,,,,
73,Mulan,1998,216807832,1998,7.6,POC,,,,,,,,,
74,The Parent Trap,1998,119185667,1998,6.5,white,,,,,,,,,
75,A Bug s Life,1998,288981698,1998,7.2,animals,,,,,,,,,
76,Mighty Joe Young,1998,87906042,1998,5.6,white,,,,,,,,,
77,Doug s 1st Movie,1999,32228598,1999,5,white,,,,,,,,,
78,Tarzan,1999,283900254,1999,7.3,white,,,,,,,,,
79,The Straight Story,1999,10111144,1999,8,white,,,,,,,,,
80,Toy Story 2,1999,404450426,1999,7.9,white,,,,,,,,,
81,The Tigger Movie,2000,71228678,2000,6.3,animals,,,,,,,,,
82,Dinosaur,2000,215438985,2000,6.5,animals,,,,,,,,,
83,Remember the Titans,2000,180742479,2000,7.8,mixed,,,,,,,,,
84,102 Dalmatians,2000,104055039,2000,4.9,white,,,,,,,,,
85,The Emperor s New Groove,2000,136789252,2000,7.3,POC,,,,,,,,,
86,Recess  School s Out,2001,54656124,2001,6.6,mixed,,,,,,,,,
87,Atlantis  The Lost Empire,2001,125188122,2001,6.9,white,,,,,,,,,
88,The Princess Diaries,2001,161218928,2001,6.3,white,,,,,,,,,
89,Monsters  Inc,2001,416073179,2001,8,,,,,,,,,,
90,Snow Dogs,2002,117745317,2002,5.2,mixed,,,,,,,,,
91,Lilo   Stitch,2002,211506702,2002,7.2,POC,,,,,,,,,
92,The Country Bears,2002,24650121,2002,4.1,animals,,,,,,,,,
93,Tuck Everlasting,2002,27789959,2002,6.6,white,,,,,,,,,
94,The Santa Clause 2,2002,201959095,2002,5.6,white,,,,,,,,,
95,Treasure Planet,2002,55189145,2002,7.2,white,,,,,,,,,
96,The Jungle Book 2,2003,66966883,2003,5.4,POC,,,,,,,,,
97,Piglet s Big Movie,2003,32298812,2003,6.1,animals,,,,,,,,,
98,Holes,2003,94203395,2003,7,mixed,,,,,,,,,
99,The Lizzie McGuire Movie,2003,59743191,2003,5.5,white,,,,,,,,,
100,Finding Nemo,2003,518148559,2003,8.1,animals,,,,,,,,,
101,Freaky Friday,2003,154090360,2003,6.1,white,,,,,,,,,
102,Brother Bear,2003,119218333,2003,6.8,POC,,,,,,,,,
103,The Haunted Mansion,2003,105775678,2003,5,POC,,,,,,,,,
104,Young Black Stallion,2003,9254344,2003,5.6,POC,,,,,,,,,
105,Miracle,2004,87392478,2004,7.5,white,,,,,,,,,
106,Confessions of a Teenage Drama Queen,2004,39816568,2004,4.6,white,,,,,,,,,
107,Home on the Range,2004,67910166,2004,5.3,animals,,,,,,,,,
108,Around the World in 80 Days,2004,32585356,2004,5.9,white,,,,,,,,,
109,America s Heart and Soul,2004,426246,2004,5.1,mixed,,,,,,,,,
110,The Princess Diaries 2  Royal Engagement,2004,129164207,2004,5.8,white,,,,,,,,,
111,The Incredibles,2004,354488708,2004,8,white,,,,,,,,,
112,Aliens of the Deep,2005,11740942,2005,6.4,,,,,,,,,,
113,Pooh s Heffalump Movie,2005,23801835,2005,6.4,animals,,,,,,,,,
114,Ice Princess,2005,32064685,2005,6,white,,,,,,,,,
115,Valiant,2005,25616292,2005,5.5,animals,,,,,,,,,
116,The Greatest Game Ever Played,2005,20162672,2005,7.4,white,,,,,,,,,
117,Chicken Little,2005,177954661,2005,5.7,animals,,,,,,,,,
118,Glory Road,2006,54888236,2006,7.2,white,,,,,,,,,
119,Roving Mars,2006,12948025,2006,7.2,white,,,,,,,,,
120,Eight Below,2006,105037235,2006,7.3,white,,,,,,,,,
121,The Wild,2006,48114115,2006,5.3,animals,,,,,,,,,
122,Cars,2006,314140384,2006,7.1,,,,,,,,,,
123,Invincible,2006,74398864,2006,7.1,white,,,,,,,,,
124,The Santa Clause 3  The Escape Clause,2006,108694869,2006,4.7,white,,,,,,,,,
125,Apocalypto,2006,64959548,2006,7.8,POC,,,,,,,,,
126,Meet the Robinsons,2007,119860589,2007,6.8,white,,,,,,,,,
127,Ratatouille,2007,252955933,2007,8,white,,,,,,,,,
128,The Game Plan,2007,111010758,2007,6.1,mixed,,,,,,,,,
129,College Road Trip,2008,53550960,2008,4.3,POC,,,,,,,,,
130,The Chronicles of Narnia  Prince Caspian,2008,166277038,2008,6.5,white,,,,,,,,,
131,WALL E,2008,262771918,2008,8.4,,,,,,,,,,
132,High School Musical 3  Senior Year,2008,106308538,2008,4.8,white,,,,,,,,,
133,Bolt,2008,133702498,2008,6.8,white,,,,,,,,,
134,Bedtime Stories,2008,128039679,2008,6,white,,,,,,,,,
135,Race to Witch Mountain,2009,75501997,2009,5.7,mixed,,,,,,,,,
136,Up,2009,329336681,2009,8.2,white,,,,,,,,,
137,G Force,2009,134246932,2009,5.1,animals,,,,,,,,,
138,The Princess and the Frog,2009,116316457,2009,7.1,POC,,,,,,,,,
139,The Last Song,2010,67258772,2010,6,white,,,,,,,,,
140,Toy Story 3,2010,443408255,2010,8.3,white,,,,,,,,,
141,Secretariat,2010,63781920,2010,7.2,white,,,,,,,,,
142,Tangled,2010,214388548,2010,7.7,white,,,,,,,,,
143,Mars Needs Moms,2011,22741603,2011,5.4,animals,,,,,,,,,
144,African Cats,2011,16401551,2011,7.6,animals,,,,,,,,,
145,Zokkomon,2011,2984,2011,4.1,POC,,,,,,,,,
146,Prom,2011,10768946,2011,5.4,white,,,,,,,,,
147,Cars 2,2011,203522177,2011,6.1,,,,,,,,,,
148,Winnie the Pooh,2011,28375869,2011,7.2,,,,,,,,,,
149,War Horse,2011,84762149,2011,7.2,white,,,,,,,,,
150,John Carter,2012,77372445,2012,6.6,white,,,,,,,,,
151,Chimpanzee,2012,30675725,2012,7.2,animals,,,,,,,,,
152,The Avengers,2012,660081224,2012,8,white,,,,,,,,,
153,Brave,2012,251292441,2012,7.1,white,,,,,,,,,
154,The Odd Life of Timothy Green,2012,54914942,2012,6.6,white,,,,,,,,,
155,Frankenweenie,2012,37363513,2012,6.9,white,,,,,,,,,
156,Wreck It Ralph,2012,200354959,2012,7.7,white,,,,,,,,,
157,Iron Man 3,2013,424084233,2013,7.2,white,,,,,,,,,
158,Monsters University,2013,278395641,2013,7.3,,,,,,,,,,
159,Thor  The Dark World,2013,213962184,2013,6.9,white,,,,,,,,,
160,Frozen,2013,414997174,2013,7.4,white,,,,,,,,,
161,Saving Mr  Banks,2013,86249969,2013,7.5,white,,,,,,,,,
162,Muppets Most Wanted,2014,52807594,2014,6.4,white,,,,,,,,,
163,Captain America  The Winter Soldier,2014,268013076,2014,7.7,white,,,,,,,,,
164,Guardians of the Galaxy,2014,343771168,2014,8,white,,,,,,,,,
165,The Hundred Foot Journey,2014,55961409,2014,7.3,mixed,,,,,,,,,
166,Big Hero 6,2014,229249222,2014,7.8,white,,,,,,,,,
167,Monkey Kingdom,2015,16432322,2015,7.3,animals,,,,,,,,,
168,Avengers  Age of Ultron,2015,459005868,2015,7.3,white,,,,,,,,,
169,Ant Man,2015,180202163,2015,7.3,white,,,,,,,,,
170,The Good Dinosaur,2015,123087120,2015,6.7,white,,,,,,,,,
171,The Finest Hours,2016,27569558,2016,6.8,white,,,,,,,,,
172,Zootopia,2016,341268248,2016,8,animals,,,,,,,,,
173,Captain America  Civil War,2016,408084349,2016,7.8,white,,,,,,,,,
174,Finding Dory,2016,486295561,2016,7.3,animals,,,,,,,,,
175,The BFG,2016,55483770,2016,6.4,white,,,,,,,,,
176,Pete s Dragon,2016,76233151,2016,6.7,white,,,,,,,,,
177,Queen of Katwe,2016,8874389,2016,7.4,POC,,,,,,,,,
178,Doctor Strange,2016,232532923,2016,7.5,white,,,,,,,,,
179,Moana,2016,246082029,2016,7.6,POC,,,,,,,,,
180,Rogue One  A Star Wars Story,2016,529483936,2016,7.8,white,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,