id,sum_songs,total_streams,Followers,Combo,
1,132,275432430,4943181,MPOC,
2,9,15699807,162763,Mwhite,
3,21,32224508,17965158,Fwhite,
4,1,1569970,684444,Mwhite,
5,14,48612648,225919,Mwhite,
6,1,1554780,8499414,Mwhite,
7,1,1519370,3155939,MPOC,
8,2,3261135,5051153,Fwhite,
9,178,441950182,6653562,MPOC,
10,11,14478453,1508682,Mwhite,
11,34,78746825,250331,Mwhite,
12,9,18500011,4511508,Mwhite,
13,9,40855048,10470,Mwhite,
14,14,56489822,135670,Fwhite,
15,1,2120808,6578314,Fwhite,
16,2,4241437,2576304,Mwhite,
17,137,423831249,22677758,MPOC,
18,19,50748280,30827,Mwhite,
19,106,332630518,18493843,Mwhite,
20,6,8530215,3514553,Mwhite,
21,120,382714275,5537876,MPOC,
22,69,138334163,9676862,MPOC,
23,7,9354337,1605863,Mwhite,
24,11,23937007,971678,MPOC,
25,3,4295159,22458057,Mwhite,
26,34,72928656,14076638,MPOC,
27,1,1898614,26421,FPOC,
28,49,120856066,20121007,Mwhite,
29,81,235375097,15274062,Fmixed,
30,1,1386169,1962590,Mwhite,
31,8,13762718,2096548,Mwhite,
32,138,534008748,4249473,MPOC,
33,922,3441947366,41420478,MPOC,
34,319,936155298,52698756,Mwhite,
35,3,4818822,523571,Mwhite,
36,8,16381751,7039401,Fwhite,
37,1,1571507,3788573,Mwhite,
38,11,27809231,3487016,Mwhite,
39,194,523044977,30220119,Mwhite,
40,3,3976647,8796153,MPOC,
41,8,12134811,7178290,Mwhite,
42,14,22283872,7304785,MPOC,
43,9,16743509,3285549,Mwhite,
44,104,384185423,3080724,MPOC,
45,7,12866260,23974,Mwhite,
46,6,24085184,283857,Mwhite,
47,11,17321731,4812524,Mmixed,
48,189,516962115,2904919,MPOC,
49,1,1951073,3369602,Fwhite,
50,327,891696331,9417086,MPOC,
51,1,2454543,903418,Mwhite,
52,36,67057920,3363492,Mwhite,
53,52,113047000,7121242,MPOC,
54,3,4908762,687325,Mwhite,
55,1,1633638,1380700,MPOC,
56,8,9163357,3744923,MPOC,
57,11,24620639,4709602,MPOC,
58,15,33350716,4128148,Mwhite,
59,45,182558398,3069527,Mwhite,
60,8,9512638,1481309,Mwhite,
61,1,1610475,1917581,MPOC,
62,25,45434488,30711450,Mwhite,
63,61,120235430,8365398,Mwhite,
64,98,353491199,10455779,MPOC,
65,31,90506112,14004245,Fwhite,
66,10,12001938,3353002,Mwhite,
67,6,14800545,5629156,Fwhite,
68,421,1539486791,13325462,MPOC,
69,2,3169899,2669350,Mwhite,
70,6,7244872,2668994,MPOC,
71,3,3225534,3293763,MPOC,
72,70,208830241,9370435,Fwhite,
73,15,25565579,9179252,Fwhite,
74,7,12449485,1094596,Mwhite,
75,84,331548634,8360644,MPOC,
76,19,30591270,13781152,Mwhite,
77,1,1204569,1553147,NA,
78,104,396318048,7253765,MPOC,
79,3,4665657,4556839,Mwhite,
80,38,91308697,3567365,Mwhite,
81,48,99124653,5726943,Mmixed,
82,20,89668591,4851294,FPOC,
83,17,43747379,691165,Mwhite,
84,150,454386939,20445189,Mwhite,
85,78,314311542,3591329,MPOC,
86,2,4914351,12232437,MPOC,
87,462,1383674102,9473441,MPOC,
88,44,119104985,2472516,MPOC,
89,14,17588764,911203,Mwhite,
90,34,91090164,10054490,Fwhite,
91,15,41361855,1126685,MPOC,
92,64,154055933,16331335,FPOC,
93,38,79172033,10051233,MPOC,
94,26,54590859,1114710,MPOC,
95,31,62838650,8660053,Mwhite,
96,28,53411156,7214210,Fwhite,
97,95,242472513,8129075,Mwhite,
98,6,9212094,4702645,NA,
99,10,27009230,2497755,Mwhite,
100,3,6729166,2900721,MPOC,
101,47,130882714,996901,NA,
102,11,24545663,1447211,Mwhite,
103,90,181464476,20501475,Mwhite,
104,2,2721341,3279005,MPOC,
105,4,5768726,3490077,MPOC,
106,70,122309595,34436700,FPOC,
107,29,63720806,2774150,MPOC,
108,8,15213975,2696435,MPOC,
109,22,34490778,17399459,FPOC,
110,30,56244980,14117938,Fwhite,
111,2,4283502,871081,FPOC,
112,1,1233304,2144874,MPOC,
113,19,42532120,3263313,MPOC,
114,2,4094361,3808641,Mwhite,
115,1,1890374,1037915,NA,
116,131,391154997,23709128,Fwhite,
117,8,10850738,4891453,Mwhite,
118,5,11881137,118326,FPOC,
119,1,1275694,2418168,Mwhite,
120,4,5889469,1011430,Mwhite,
121,2,4243858,460034,Mwhite,
122,8,9142679,4510865,MPOC,
123,20,28800449,2213618,MPOC,
124,13,43875505,944180,Mwhite,
125,18,24508014,4955084,MPOC,
126,34,77407266,8515882,MPOC,
127,66,194355766,1916093,MPOC,
128,50,119972866,2583062,MPOC,
129,148,313114955,4471452,MPOC,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,